               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.030998,             0.02287,           0.0051569,             0.88283,             0.83443,             0.87612,             0.56793,            0.030237,            0.016811,           0.0067915,            0.008251,            0.008251,            0.008251
                  55,            0.031265,            0.021372,           0.0052921,             0.86602,             0.82552,             0.86431,             0.55727,            0.031923,            0.016759,           0.0071213,            0.008218,            0.008218,            0.008218
                  56,              0.0324,            0.022492,           0.0053898,             0.89514,             0.81752,             0.86227,              0.5573,            0.031334,            0.017177,           0.0071377,            0.008185,            0.008185,            0.008185
                  57,            0.031918,            0.023105,           0.0056604,             0.88475,              0.8329,             0.87352,              0.5591,            0.031775,            0.016974,            0.006847,            0.008152,            0.008152,            0.008152
                  58,            0.030319,            0.022369,           0.0053223,             0.88619,             0.83893,             0.86834,             0.57867,            0.029755,             0.01661,            0.006884,            0.008119,            0.008119,            0.008119
                  59,            0.030208,             0.02037,           0.0052369,             0.88394,             0.83209,             0.87227,             0.57308,            0.030792,            0.017069,           0.0069855,            0.008086,            0.008086,            0.008086
                  60,            0.029883,            0.020131,           0.0047577,             0.85849,             0.85166,             0.87639,             0.56763,            0.030895,            0.016622,           0.0073697,            0.008053,            0.008053,            0.008053
                  61,            0.030623,             0.01991,           0.0056885,              0.9048,              0.8187,             0.87982,             0.57967,            0.029948,            0.016747,           0.0070439,             0.00802,             0.00802,             0.00802
                  62,            0.030194,            0.022765,            0.005254,             0.87018,             0.85228,             0.88111,             0.58758,            0.030512,            0.016385,           0.0068403,            0.007987,            0.007987,            0.007987
                  63,            0.031209,            0.022229,           0.0050785,             0.87851,             0.84363,              0.8856,             0.58441,            0.030525,            0.016246,           0.0065602,            0.007954,            0.007954,            0.007954
                  64,            0.030985,            0.020607,           0.0051398,             0.87311,             0.82049,             0.87482,              0.5764,            0.030296,            0.016684,           0.0068396,            0.007921,            0.007921,            0.007921
                  65,            0.031898,             0.02376,           0.0053706,              0.8689,              0.8464,             0.88209,             0.56687,            0.031897,            0.016722,           0.0067573,            0.007888,            0.007888,            0.007888
                  66,            0.030773,            0.021878,           0.0053601,             0.88951,             0.83945,             0.87693,              0.5858,            0.030087,            0.016785,           0.0067174,            0.007855,            0.007855,            0.007855
                  67,            0.030924,            0.021098,           0.0052439,             0.87129,             0.85726,             0.88765,             0.57219,            0.030868,            0.017217,           0.0067605,            0.007822,            0.007822,            0.007822
                  68,            0.030761,            0.021664,           0.0052418,              0.8806,             0.85905,             0.89356,             0.58955,            0.030583,            0.016397,           0.0067972,            0.007789,            0.007789,            0.007789
